,seed_term,related_terms,source,decade
0,duurzaam,belastingstelsel,parool,1960
1,duurzaam,rechtvaardig,parool,1960
2,duurzaam,zedelijk,parool,1960
3,duurzaam,zwakken,parool,1960
4,duurzaam,relativeert,parool,1960
5,duurzaam,desintegratie,parool,1960
6,duurzaam,protectionistisch,parool,1960
7,duurzaam,bezwaarlijk,parool,1960
8,duurzaam,asociaal,parool,1960
9,duurzaam,staatsbestel,parool,1960
10,extractie,,parool,1960
11,winning,raffinaderijen,parool,1960
12,winning,aardgas,parool,1960
13,winning,minerale,parool,1960
14,winning,aardolie,parool,1960
15,winning,oliemaatschappijen,parool,1960
16,winning,verbruikers,parool,1960
17,winning,staatsdeelneming,parool,1960
18,winning,delfstoffen,parool,1960
19,winning,stadsgas,parool,1960
20,winning,pijpleiding,parool,1960
21,exploratie,boet,parool,1960
22,exploratie,hub,parool,1960
23,exploratie,maxwell,parool,1960
24,exploratie,ketje,parool,1960
25,exploratie,aso,parool,1960
26,exploratie,petroleum,parool,1960
27,exploratie,weien,parool,1960
28,exploratie,kub,parool,1960
29,exploratie,fluor,parool,1960
30,exploratie,lansen,parool,1960
31,concessie,concessies,parool,1960
32,concessie,landingsrechten,parool,1960
33,concessie,bondsregering,parool,1960
34,concessie,garanties,parool,1960
35,concessie,onderhandelen,parool,1960
36,concessie,weigering,parool,1960
37,concessie,toezeggingen,parool,1960
38,concessie,zendmachtiging,parool,1960
39,concessie,bereidverklaring,parool,1960
40,concessie,wapenleveranties,parool,1960
41,Energievoorziening,,parool,1960
42,energiewinning,,parool,1960
43,energiebehoefte,energieverbruik,parool,1960
44,energiebehoefte,ruwstaal,parool,1960
45,energiebehoefte,investeringsvolume,parool,1960
46,energiebehoefte,oogstjaar,parool,1960
47,energiebehoefte,premiereserve,parool,1960
48,energiebehoefte,raamde,parool,1960
49,energiebehoefte,defensiebudget,parool,1960
50,energiebehoefte,omzetgroei,parool,1960
51,energiebehoefte,concernomzet,parool,1960
52,energiebehoefte,grondstoffenprijzen,parool,1960
53,elektriciteitsopwekking,,parool,1960
54,energieleverancier,,parool,1960
55,energievraagstuk,,parool,1960
56,conventionele energie,,parool,1960
57,conventioneel vermogen,,parool,1960
58,kolencrisis,,parool,1960
59,kolenindustrie,mijnindustrie,parool,1960
60,kolenindustrie,steunmaatregelen,parool,1960
61,kolenindustrie,energievoorziening,parool,1960
62,kolenindustrie,bankkrediet,parool,1960
63,kolenindustrie,zeehavens,parool,1960
64,kolenindustrie,exportpositie,parool,1960
65,kolenindustrie,handelsbelemmeringen,parool,1960
66,kolenindustrie,bouwsector,parool,1960
67,kolenindustrie,ontwikkelingsplannen,parool,1960
68,kolenindustrie,handelsovereenkomsten,parool,1960
69,kolenwinning,,parool,1960
70,zwarte goud,,parool,1960
71,slurrie,,parool,1960
72,bruinkool,,parool,1960
73,stookolie,huisbrandolie,parool,1960
74,stookolie,gasolie,parool,1960
75,stookolie,dieselolie,parool,1960
76,stookolie,stadsgas,parool,1960
77,stookolie,vloeibare,parool,1960
78,stookolie,gestookte,parool,1960
79,stookolie,benzine,parool,1960
80,stookolie,zeewater,parool,1960
81,stookolie,kerosine,parool,1960
82,stookolie,smeerolie,parool,1960
83,minerale oliën,,parool,1960
84,petroleum,eum,parool,1960
85,petroleum,rvs,parool,1960
86,petroleum,maxwell,parool,1960
87,petroleum,exploratie,parool,1960
88,petroleum,olie,parool,1960
89,petroleum,aso,parool,1960
90,petroleum,uitgiftekoers,parool,1960
91,petroleum,boet,parool,1960
92,petroleum,cultures,parool,1960
93,petroleum,lager,parool,1960
94,diesel,dieselmotor,parool,1960
